Name,brand,rating,no_rating,key_benefit
LDD Bioscience Mygale Lasiodora Dilution 1000 CH,LDD Bioscience Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '']"
Allen's Alfa Allen Tonic,Allen Healthcare,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Sett Dey Ledum Palustre Mother Tincture Q,Sett Dey & Co (Homeo) Lab,,,"['', '', '', '', '', '', '', '', '', '', '']"
Sett Dey Ferrum Phosphoricum Dilution 6,Sett Dey & Co (Homeo) Lab,,,"['', '', '', '', '', '', '', '', '', '', '']"
Similia Biocom No.24 Tablet,Similia Homoeo Laboratory,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Wheezal Antimonium Iodatum Dilution 1M,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '']"
Dr Willmar Schwabe India Lac Caninum Dilution 10M CH,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Phaseolus Dilution 200 CH,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Wheezal Abrotanum Dilution 3X,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']"
SBL Manganum Carbonicum Dilution 30 CH,SBL Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Wheezal Ocimum Sanctum Dilution 1M,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '', '', '', '', '', '']"
Bjain Staphylococcus Aureus Dilution 200 CH,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Natrum Phosphoricum Biochemic Tablet 200X,Dr Willmar Schwabe India Pvt Ltd,4.7,104 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
Radient Rehumex Syrup,Radient Pharma,,,"['', '', '', '', '', '', '', '', '', '', '', '']"
Bjain Acidum Nitricum Dilution 1000 CH,Bjain Pharmaceuticals Pvt. Ltd.,4.5,43 Ratings,"['', '', '', '', '', '', '', '', '', '']"
Bjain Solidago Virgaurea Dilution 30 CH,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '', '', '', '']"
SBL Ammonium Iodatum Dilution 1000 CH,SBL Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
Wheezal Mercurius Sublimatus Globules 0/3 LM,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '', '', '', '']"
SBL Symphoricarpus Racemosus Dilution 1000 CH,SBL Pvt Ltd,4.4,10 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '']"
Dr. Reckeweg Calc Fluor Dilution 200 CH,Dr Reckeweg & Co,4.4,70 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '']"
Wheezal Althaea Officinalis Dilution CM,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '', '']"
Combo Pack of SBL Bryonia Alba Dilution 30 CH & SBL Aconitum Napellus Dilution 30 CH (30ml Each),,4.6,2392 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Wheezal Boldo Dilution 200,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '', '']"
Np's Rumarth Tablet,N.P. Dutt & Son,4.5,48 Ratings,"['', '', '', '', '', '', '', '', '']"
Dr. Majumder Homeo World Bolda Dilution(30ml Each) CM,Dr. Majumder Homeo World,,,"['', '', '', '', '', '', '', '', '', '']"
Healwell Cardiwel Drop,Healwell International Limited,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Aurum Muriaticum Dilution 10M CH,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '']"
Bjain Drosera Rotundifolia Dilution 200C,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '', '']"
ADEL Naphthalinum Dilution 30 CH,Adel Pekana Germany,,,"['', '', '', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Canchalagua Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '']"
St. George’s Fract Q Nil Ointment,St. George’s Homoeopathy,,,"['', '', '', '', '', '', '']"
SBL Cuprum Sulphuricum Dilution 6 CH,SBL Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '']"
Dr. Reckeweg Phytolacca Dec Dilution 6 CH,Dr Reckeweg & Co,4.5,56 Ratings,"['', '', '', '', '', '', '', '', '']"
SBL Bismuthum Metallicum Dilution 30 CH,SBL Pvt Ltd,4.7,37 Ratings,"['', '', '', '', '', '', '', '', '', '', '']"
Haslab Bico 48 Biochemic Compound Tablet,HASLAB,,,"['', '', '', '', '', '', '', '', '', '', '', '']"
Bjain Lycopersicum Esculentum Mother Tincture Q,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '', '', '', '']"
Wheezal Asarum Canadense Dilution CM,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Raphanus Sativus Dilution 12 CH,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Bhargava Arsenicum Album 30 Dilution (30ml Each),Bhargava Phytolab,,,"['', '', '', '', '', '', '', '', '', '', '']"
SBL Stillngia Sylvatica Dilution 30 CH,SBL Pvt Ltd,,,[]
Dr. Reckeweg Carbo Vegetabilis Trituration Tablet 3X,Dr Reckeweg & Co,4.6,11 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Bjain Cistus Canadensis Dilution 6X,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '']"
Medisynth Bio-chemic Combination No.17 Rectal Ailments,Medisynth Chemicals Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '']"
SBL Aluminium Phosphoricum Dilution 6 CH,SBL Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Adonis Vernalis Dilution 200 CH,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '']"
Bjain Calcarea Carbonica Dilution 1000 CH,Bjain Pharmaceuticals Pvt. Ltd.,4.7,48 Ratings,"['', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Baptisia Tinctoria Dilution 12 CH,Dr Willmar Schwabe India Pvt Ltd,4.5,25 Ratings,"['', '', '', '', '', '', '', '', '']"
SBL Bryonia Alba Dilution 12 CH,SBL Pvt Ltd,4.6,1573 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Sett Dey Argentum Nit Dilution 6,Sett Dey & Co (Homeo) Lab,,,"['', '', '', '', '', '', '', '', '', '']"
SBL Terminalia Arjuna Dilution 6 CH,SBL Pvt Ltd,4.5,12 Ratings,"['', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Titanium Dilution 6 CH,Dr Willmar Schwabe India Pvt Ltd,4.4,29 Ratings,"['', '', '', '', '', '', '', '', '', '', '']"
SBL Cobaltum Metallicum Dilution 6 CH,SBL Pvt Ltd,4.9,20 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe Germany Natrum Phosphoricum Dilution 200,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '']"
Bakson's Homeopathy Acid Hydrocyanicum Dilution 1M,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '', '', '', '']"
Wheezal Alstonia Constricta Dilution 200,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '', '', '', '', '', '']"
SBL Zincum Metallicum Dilution 6 CH,SBL Pvt Ltd,4.6,102 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Bjain Jaborandi Dilution 30C,Bjain Pharmaceuticals Pvt. Ltd.,4.9,14 Ratings,"['', '', '', '', '', '', '', '', '']"
Sett Dey Baryta Carbonicum Dilution 30,Sett Dey & Co (Homeo) Lab,,,"['', '', '', '', '', '', '', '', '']"
Bjain Asafoetida Dilution 6C,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy Allium Cepa Dilution 50M,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '']"
Bjain Nux Vomica Dilution 12C,Bjain Pharmaceuticals Pvt. Ltd.,4.6,188 Ratings,"['', '', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy Mercurius Nitricus Dilution 10M,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '', '']"
Allen Uricacid Drop,Allen Homoeo & Herbal Products Ltd,4.3,15 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy Verbascum Thapsus Dilution 6,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '', '', '', '']"
Wheezal Baryta Muriatica Globules 0/18 LM,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '']"
Dr Willmar Schwabe Germany Tellurium Dilution 30,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '']"
Dr Willmar Schwabe India Calcarea Iodata Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '']"
Similia Malt-O-Vin Alfalfa Malt Delicious Chocolate,Similia Homoeo Laboratory,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
New Life Bach Flower Rescue Remedy 30,New Life Laboratories Pvt Ltd,4.4,874 Ratings,"['', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy Fagopyrum Esculentum Dilution 6,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '']"
Bjain Spigelia Marilandica Dilution 1000 CH,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy Hypophysine (Lobe Anterieur) Dilution 10M,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '']"
Bjain Lemna Minor Dilution 12C,Bjain Pharmaceuticals Pvt. Ltd.,4.2,12 Ratings,"['', '', '', '', '', '', '', '', '']"
ADEL Aurum Mur. Nat. Dilution 6,Adel Pekana Germany,,,"['', '', '', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy Atista Indica Dilution 6X,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy Taxus Baccata Dilution 50M,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Castoreum Dilution 6 CH,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '']"
Sett Dey Antimonium Iodatum Dilution 30,Sett Dey & Co (Homeo) Lab,,,"['', '', '', '', '', '', '', '', '']"
Wheezal Symphytum Officinale Dilution 50M,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '', '']"
Boiron Cicuta Virosa Multi Dose Approx 80 Pellets 30 CH,Boiron Laboratories Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
Dr. Majumder Homeo World Arnica Album Dilution 200 (30ml Each),Dr. Majumder Homeo World,,,"['', '', '', '', '', '', '', '', '', '']"
Sett Dey Acid Sulphuricum Dilution 30,Sett Dey & Co (Homeo) Lab,,,"['', '', '', '', '', '']"
Bakson's Homeopathy Crocus Sativus Dilution 10M,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '']"
Dr Willmar Schwabe India Cochlearia Armoracia Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,4.5,30 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Kali Carbonicum Dilution 50M CH,Dr Willmar Schwabe India Pvt Ltd,4.7,34 Ratings,"['', '', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Kali Muriaticum Biochemic Tablet 12X,Dr Willmar Schwabe India Pvt Ltd,4.4,63 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Wheezal Kali Bichromicum Globules 0/4 LM,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '']"
SBL Kali Arsenicosum 0/16 LM,SBL Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '']"
St. George’s Bach Flower Chicory 6 CH,St. George’s Homoeopathy,,,"['', '', '', '', '', '', '', '', '', '', '']"
Sett Dey Bellis Perennis Dilution 6,Sett Dey & Co (Homeo) Lab,,,"['', '', '', '', '', '', '', '']"
Bjain Ignatia Amara Dilution 50M CH,Bjain Pharmaceuticals Pvt. Ltd.,4.1,16 Ratings,"['', '', '', '', '', '', '', '', '', '']"
ADEL Helleborus Mother Tincture Q,Adel Pekana Germany,,,"['', '', '', '', '', '', '']"
Rxhomeo Equisetum Hye 200C,Rxhomeo Private Limited,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Dr. Majumder Homeo World Argentum Iodatum Dilution (30 ml Each) 30 CH,Dr. Majumder Homeo World,,,"['', '', '', '', '', '', '']"
Bakson's Homeopathy Placenta Dilution 10M,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '', '', '']"
Bjain Acidum Nitricum Globules 0/28 LM,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Bjain Kali Muriaticum Biochemic Tablet 6X,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Pulsatilla Nigricans Dilution 12 CH,Dr Willmar Schwabe India Pvt Ltd,4.7,46 Ratings,"['', '', '', '', '', '', '', '', '']"
SBL Agnus Castus 0/2 LM,SBL Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '']"
Dr. Reckeweg Abies Nigra Dilution 30 CH,Dr Reckeweg & Co,4.1,22 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy Phenolphthalein Dilution 30,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '']"
SBL Balsum Peruvianum Dilution 30 CH,SBL Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Ferrum Metallicum Dilution 1000 CH,Dr Willmar Schwabe India Pvt Ltd,4.8,26 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
Lord's Sarsamed Blood Purifier,Lord's Homoeopathic Laboratory Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Pioneer Pharma Rauvolfia Serpentina Pills 30 CH,Homeotrade,,,"['', '', '', '', '', '', '', '', '', '', '']"
SBL Hyoscyamus Niger Dilution 3 CH,SBL Pvt Ltd,4.7,114 Ratings,"['', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Olibanum Dilution 12 CH,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Melissa Dilution 12 CH,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '']"
Wheezal Kali Phosphoricum Globules 0/28 LM,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '']"
Dr Willmar Schwabe India Barium Acetica Trituration Tablet 3X,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy Kof Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,4.4,114 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Thymolum Dilution 6 CH,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Adrenalinum Dilution 12 CH,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Cornus Circinata Dilution 200 CH,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '']"
Bjain Belladonna Dilution 3X,Bjain Pharmaceuticals Pvt. Ltd.,4.6,85 Ratings,"['', '', '', '', '', '', '', '', '', '']"
Bjain Acidum Boracicum Globules 0/5 LM,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '']"
Bakson's Homeopathy Aegle Folia Dilution 30,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '']"
Pioneer Pharma Syzygium Jambolanum Globules Pellet Multidose Pills 30 CH,Homeotrade,,,"['', '', '', '', '', '', '', '', '']"
Lord's Uranium Nit Trituration Tablet 3X,Lord's Homoeopathic Laboratory Pvt Ltd,4.6,27 Ratings,"['', '', '', '', '', '', '', '']"
ADEL Aurum Met. Dilution 200,Adel Pekana Germany,4.5,16 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Bjain Drosera Rotundifolia Dilution 10M CH,Bjain Pharmaceuticals Pvt. Ltd.,,,"['', '', '', '', '', '', '', '', '']"
Wheezal Urtica Urens Dilution 10M,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe Germany Asarum Europaeum Dilution 200,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '']"
Wheezal Dioscorea Villosa Globules 0/5 LM,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '']"
SBL Mica Dilution 6 CH,SBL Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '']"
Wheezal Solanum Nigrum Dilution CM,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '']"
Radient #129 Paralysis Drops,Radient Pharma,,,"['', '', '', '', '']"
Medisynth Bio-chemic Combination No.20 Skin Diseases,Medisynth Chemicals Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '']"
Pioneer Pharma P47 Blood Purifier Drop,Homeotrade,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Dr. Reckeweg Kalmegh Mother Tincture Q,Dr Reckeweg & Co,4.7,228 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '']"
SBL Boldo Dilution 12 CH,SBL Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe Germany Terebinthinae Oleum Dilution 200,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '']"
Radient Sleemex Drops,Radient Pharma,,,"['', '', '', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy Dolichos Pruriens Dilution 6 CH,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '']"
SBL Spongia Tosta 0/8 LM,SBL Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Bjain Pulsatilla Nigricans Dilution 10M CH,Bjain Pharmaceuticals Pvt. Ltd.,4.6,46 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Bjain Omeo Sulphur Ointment,Bjain Pharmaceuticals Pvt. Ltd.,4.2,13 Ratings,"['', '', '', '', '', '', '', '', '']"
LDD Bioscience Echinacea Angustifolia Mother Tincture Q,LDD Bioscience Pvt Ltd,,,[]
Bakson's Homeopathy Anantherum Muricatum Dilution 200,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '']"
Bakson's Homeopathy Areca Catechu Dilution 200,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '']"
BRL Kough-Vit Cough Expectorant,Boericke Research Laboratory,,,"['', '', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Cantharis Dilution 12 CH,Dr Willmar Schwabe India Pvt Ltd,4.5,76 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '']"
Pioneer Pharma Salix Nigra Mother Tincture Q,Homeotrade,,,"['', '', '', '', '', '', '', '', '', '', '']"
Bjain Hyoscyamus Niger Dilution 10M CH,Bjain Pharmaceuticals Pvt. Ltd.,4.3,10 Ratings,"['', '', '', '', '', '', '', '']"
Radient #47 Anti-Dandruff Drops,Radient Pharma,,,"['', '', '', '', '', '', '', '', '', '', '', '']"
Wheezal Ferrum Metallicum Globules 0/25 LM,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '', '', '']"
Wheezal Sepia Globules 0/12 LM,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '', '']"
SBL Eriodictyon Glutinosum Dilution 12 CH,SBL Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Bjain Rauvolfia Serpentina Dilution 1000 CH,Bjain Pharmaceuticals Pvt. Ltd.,4.5,28 Ratings,"['', '', '', '', '', '', '', '', '', '', '']"
Wheezal Stigmata Maydis Dilution 30,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '', '', '']"
ADEL Actaea Spicata. Dilution 1M,Adel Pekana Germany,,,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
ADEL Quercus Gland Spi Mother Tincture Q,Adel Pekana Germany,,,"['', '', '', '', '', '', '']"
SBL Elaps Corallinus Dilution 200 CH,SBL Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']"
LDD Bioscience Damiana Dilution 30 CH,LDD Bioscience Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '']"
Dr Kushwah's H 8D Kidney Tonic Sugar Free,Ayushmaanbhava Healing & Reseach Center Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Dr. Majumder Homeo World Acidum Tannicum Dilution (30ml Each) 50M,Dr. Majumder Homeo World,,,"['', '', '', '', '', '', '', '']"
Sett Dey Gambogia Dilution 30,Sett Dey & Co (Homeo) Lab,,,"['', '', '', '', '', '', '', '', '', '']"
Lord's Xanthoxyllum Mother Tincture Q,Lord's Homoeopathic Laboratory Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '']"
Healwell Noache Pills,Healwell International Limited,,,"['', '', '', '', '', '']"
Haslab HC 10 Lecithin Complex Tablet,HASLAB,,,"['', '', '', '', '', '', '']"
ADEL Merc Iod Flav Dilution 10M,Adel Pekana Germany,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
LDD Bioscience Mercurius Iod Flaves 3X,LDD Bioscience Pvt Ltd,,,"['', '', '', '', '', '', '']"
Pioneer Pharma Glonoinum Globules Pellet Multidose Pills 30 CH,Homeotrade,,,"['', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy Abelmoschus Dilution 6X,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '', '']"
SBL Influenzinum Dilution 12 CH,SBL Pvt Ltd,4.6,178 Ratings,"['', '', '', '', '', '', '', '', '', '', '']"
SBL Streptococcinum Dilution 12 CH,SBL Pvt Ltd,4.6,14 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Wheezal Conium Maculatum Globules 0/24 LM,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '']"
LDD Bioscience Podophylum Pel Dilution 30,LDD Bioscience Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '']"
SBL Allium Sativum Dilution 1000 CH,SBL Pvt Ltd,4.2,10 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Blatta Orientalis Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '']"
Bjain Plumbum Metallicum Dilution 1000 CH,Bjain Pharmaceuticals Pvt. Ltd.,4.1,15 Ratings,"['', '', '', '', '', '', '', '', '', '']"
SBL Plumbum Chromicum Dilution 200 CH,SBL Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '']"
Haslab HC 54 Alfalfa Complex Tablet,HASLAB,,,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
SBL Bio-Combination 8 Tablet,SBL Pvt Ltd,4.4,68 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '', '']"
LDD Bioscience Vertarum Viride Dilution 30 CH,LDD Bioscience Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy Syphilinum Dilution 200,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe Germany Chininum Sulphuricum Dilution 30,Dr Willmar Schwabe India Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '', '']"
Wheezal Chionanthus Virginica Dilution 50M,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '', '']"
Sett Dey Graphites Dilution 30,Sett Dey & Co (Homeo) Lab,,,"['', '', '', '', '', '', '', '']"
Boiron Hypericum Perforatum Pellets 10M,Boiron Laboratories Pvt Ltd,,,"['', '', '', '', '', '', '', '', '', '']"
Organon Arnica Mont Mother Tincture Q,Organon Homoeo Laboratory Pvt Ltd.,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy Zingiber Officinale Dilution 1000 C,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '', '']"
SBL Thyroxinum Dilution 12 CH,SBL Pvt Ltd,,,"['', '', '', '', '', '']"
ADEL Lemna Minor Mother Tincture Q,Adel Pekana Germany,,,"['', '', '', '', '', '', '']"
Wheezal Curcuma Longa Dilution 6,Wheezal Homoeo Pharma,,,[]
SBL Chrysarobinum Dilution 200 CH,SBL Pvt Ltd,4.5,31 Ratings,"['', '', '', '', '', '', '', '', '', '', '']"
SBL Calcarea Ova Tosta Dilution 1000 CH,SBL Pvt Ltd,,,[]
ADEL Sanguinaria Nit. Dilution 200,Adel Pekana Germany,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
LDD Bioscience Arsenicum Bromatum Dilution 1000 CH,LDD Bioscience Pvt Ltd,,,"['', '', '', '', '', '', '', '', '']"
Bakson's Homeopathy Apocynum Androsaemifolium Dilution 30,Bakson Drugs & Pharmaceuticals Pvt. ltd.,,,"['', '', '', '', '', '', '']"
Dr. Majumder Homeo World Acidum Lacticum Dilution (30ml Each) 200,Dr. Majumder Homeo World,,,"['', '', '', '', '', '', '', '']"
Dr. Raj Tonsicare Drop,Dr. Raj Homoeo Pharmacy,,,"['', '', '', '', '', '', '', '', '', '', '', '']"
Dr Willmar Schwabe India Iodium Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,4.5,52 Ratings,"['', '', '', '', '', '', '', '', '', '']"
Rxhomeo Cimicifuga R 30C,Rxhomeo Private Limited,,,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Wheezal Iodoformum Dilution CM,Wheezal Homoeo Pharma,,,"['', '', '', '', '', '', '']"
Dr. Reckeweg Gossypium Mother Tincture Q,Dr Reckeweg & Co,,,"['', '', '', '', '', '', '', '', '', '']"
Bjain Curcuma Longa Mother Tincture Q,Bjain Pharmaceuticals Pvt. Ltd.,4.5,26 Ratings,"['', '', '', '', '', '', '', '', '', '', '', '']"
